tags:4k
blaze	bleɪz	the blaze spread rapidly	láng	<img src="blaze.jpg">
commodity	kəˈmɒdɪti	rice, flour and other basic commodities	árucikk	<img src="commodity.jpg">
contempt	kənˈtɛmpt	I shall treat that suggestion with the contempt it deserves	megvetés	<img src="contempt.jpg">
endow	ɪnˈdaʊ	In her will, she endowed a scholarship in the physics department	adományoz	<img src="endow.jpg">
gloom	gluːm	a gloomy corridor badly lit by oil lamps	sötétség	<img src="gloom.jpg">
grim	grɪm	undoubtedly the grimmest part of him was his iron claw	zord	<img src="grim.jpg">
haul	hɔːl	The wagons were hauled by horses	vonszol	<img src="haul.jpg">
inhibit	ɪnˈhɪbɪt	inhibit the rate of a chemical reaction	meggátol	<img src="inhibit.png">
plunge	plʌnʤ	She lost her balance and plunged 100 feet to her death	zuhan	<img src="plunge.jpg">
reconcile	ˈrɛkənsaɪl	The pair were reconciled after Jackson made a public apology	kibékül	<img src="reconcile.jpg">
snatch	snæʧ	she snatched a biscuit from the plate	megkaparint	<img src="snatch.jpg">
stall	stɔːl	her car stalled at the crossroads	leáll	<img src="stall.jpg">
appal	əˈpɔːl	The brutality of the crime has appalled the public. /əˈpɔːl/	elborzaszt	<img src="appal.jpg">
aspire	əsˈpaɪə	She aspired to a scientific career	törekszik	<img src="aspire.jpg">
choke	ʧəʊk	She almost choked to death in the thick fumes	fulladozik	<img src="choke.jpg">
comprehend	ˌkɒmprɪˈhɛnd	He stood staring at the dead body, unable to comprehend	megért	<img src="comprehend.jpg">
concede	kənˈsiːd	At midnight, the candidate finally conceded defeat	elismer	<img src="concede.jpg">
despair	dɪsˈpeə	they were rescued from despair at the last minute	kétségbeesés	<img src="despair.jpg">
obstruct	əbˈstrʌkt	obstruct the view	akadályoz	<img src="obstruct.jpg">
plea	pliː	a plea to industries to stop pollution	kérelem	<img src="plea.jpg">
preoccupy	pri(ː)ˈɒkjʊpaɪ	His work preoccupies him	leköt	<img src="preoccupy.jpg">
scout	skaʊt	The commander sent out a scout to see if the road was clear	felderít	<img src="scout.jpg">
shatter	ˈʃætə	The wine glass shattered	összetörik	<img src="shatter.jpg">
stroll	strəʊl	People were strolling along the beach	séta	<img src="stroll.jpg">
tuck	tʌk	The sheets should be tucked in neatly	begyűr	<img src="tuck.jpg">
tumble	ˈtʌmbl	The tower of the World Trade Center tumbled after the plane hit it	felbukik	<img src="tumble.jpg">
wan	wɒn	She gave me a wan smile == showing no energy or enthusiasm	sápadt	<img src="wan.jpg">
abrupt	əˈbrʌpt	came to an abrupt stop	hirtelen	<img src="abrupt.png">
affiliate	əˈfɪlɪeɪt	She affiliates with her colleagues	barátkozik	<img src="affiliate.jpg">
appraise	əˈpreɪz	He appraised the situation carefully before acting	felbecsül	<img src="appraise.jpg">
attain	əˈteɪn	Most of our students attained five 'A' grades in their exams	elér	<img src="attain.jpg">
congregate	ˈkɒŋgrɪgeɪt	Young people often congregate in the main square in the evenings	összegyűlik	<img src="congregate.jpg">
detain	dɪˈteɪn	One man has been detained for questioning	feltart	<img src="detain.jpg">
distress	dɪsˈtrɛs	a ship in distress	aggodalom	<img src="distress.png">
flap	flæp	The bird flapped its wings	verdes	<img src="flap.jpg">
impair	ɪmˈpeə	His vision was impaired	károsodik	<img src="impair.jpg">
indulge	ɪnˈdʌlʤ	I indulged myself with a long hot bath	kényeztet	<img src="indulge.jpg">
mock	mɒk	The children mocked their handicapped classmate	gúnyolódik	<img src="mock.jpg">
rigour	ˈrɪgə	This crime must be treated with the full rigour of the law	szigorúság	<img src="rigour.jpg">
seldom	ˈsɛldəm	Seldom had he seen such beauty	ritkán	<img src="seldom.jpg">
slam	slæm	He slammed the door shut	becsap	<img src="slam.jpg">
stagger	ˈstægə	The drunken man staggered into the room	tántorog	<img src="stagger.jpg">
stern	stɜːn	the stern demands of parenthood	szigorú	<img src="stern.jpg">
subsidiary	səbˈsɪdiəri	subsidiary information	másodlagos	<img src="subsidiary.jpg">
veil	veɪl	A veil covered her face	fátyol	<img src="veil.jpg">
adhere	ədˈhɪə	Will this wallpaper adhere to the wall?	ragad	<img src="adhere.jpg">
aye	eɪ	Did you see what happened?' 'Oh aye, I was there.'	hogyne	<img src="aye.jpg">
bead	biːd	beads of sweat on his forehead	gyöngy	<img src="bead.jpg">
cling	klɪŋ	survivors clinging to a raft	kapaszkodik	<img src="cling.jpg">
crumble	ˈkrʌmbl	The Sphinx is crumbling	szétmorzsol	<img src="crumble.jpg">
defy	dɪˈfaɪ	I wouldn't have dared to defy my teachers	ellenszegül	<img src="defy.jpg">
deter	dɪˈtɜː	I told him I wasn't interested, but he wasn't deterred	elrettent	<img src="deter.jpg">
devise	dɪˈvaɪz	A new system has been devised to control traffic in the city	kigondol	<img src="devise.jpg">
endeavour	ɪnˈdɛvə	Please make every endeavour to arrive on time	törekvés	<img src="endeavour.jpg">
enrol	ɪnˈrəʊl	to enrol on a course	beiratkozik	<img src="enrol.jpg">
exempt	ɪgˈzɛmpt	This income is totally exempt from taxation	mentes	<img src="exempt.png">
fringe	frɪnʤ	He has always remained on the fringes of mainstream politics	perem	<img src="fringe.jpg">
induce	ɪnˈdjuːs	The ads induced me to buy a VCR	rávesz	<img src="induce.jpg">
intimidate	ɪnˈtɪmɪdeɪt	Her boss intimidates her	megfélemlít	<img src="intimidate.jpg">
prevail	prɪˈveɪl	Despite all odds, we will prevail!	érvényesül	<img src="prevail.jpg">
repress	rɪˈprɛs	He burst in, making no effort to repress his fury	elfojt	<img src="repress.jpg">
ridge	rɪʤ	walking along the ridge	hegygerinc	<img src="ridge.png">
savage	ˈsævɪʤ	a savage people	vadember	<img src="savage.jpg">
scramble	ˈskræmbl	She managed to scramble over the wall	tülekedik	<img src="scramble.jpg">
shaft	ʃɑːft	an elevator shaft	tengely	<img src="shaft.jpg">
strand	strænd	he tried to pick up the strands of his former life	szál	<img src="strand.jpg">
tribunal	traɪˈbjuːnl	an international war crimes tribunal	törvényszék	<img src="tribunal.jpg">
clutch	klʌʧ	She clutched my arm when she got scared	megszorít	<img src="clutch.jpg">
concession	kənˈsɛʃən	The firm will be forced to make concessions if it wants to avoid a strike	engedmény	<img src="concession.jpg">
conscience	ˈkɒnʃəns	He won't let it trouble his conscience	lelkiismeret	<img src="conscience.jpg">
dip	dɪp	He dipped the brush into the paint	merít	<img src="dip.jpg">
equity	ˈɛkwɪti	a society where justice and equity prevail	méltányosság	<img src="equity.jpg">
evoke	ɪˈvəʊk	this remark evoked sadness	felidéz	<img src="evoke.jpg">
gravel	ˈgrævəl	a gravel path	sóder	<img src="gravel.jpg">
murmur	ˈmɜːmə	She murmured softly to the baby in her arms	suttog	<img src="murmur.jpg">
mutter	ˈmʌtə	'How dare she,' he muttered under his breath	motyog	<img src="mutter.jpg">
notorious	nəʊˈtɔːrɪəs	a notorious gangster	hírhedt	<img src="notorious.jpg">
oppress	əˈprɛs	The government oppresses political activists	elnyom	<img src="oppress.png">
pledge	plɛʤ	signed a pledge never to reveal the secret	fogadalom	<img src="pledge.jpg">
prevalent	ˈprɛvələnt	The disease is even more prevalent in Latin America	elterjedt	<img src="prevalent.jpg">
proclaim	prəˈkleɪm	He was proclaimed King	kihirdet	<img src="proclaim.jpg">
scrap	skræp	she jotted it on a scrap of paper	darabka	<img src="scrap.jpg">
slump	slʌmp	He slumped onto the couch	besüpped	<img src="slump.jpg">
stride	straɪd	He strode confidently across the hall	nagyokat lép	<img src="stride.jpg">
surplus	ˈsɜːpləs	surplus cheese distributed to the needy	többlet	<img src="surplus.jpg">
tribute	ˈtrɪbjuːt	This book is a fitting tribute to the bravery of the pioneers	tisztlegés	<img src="tribute.jpg">
tug	tʌg	she tugged off her boots	húzás	<img src="tug.jpg">
wit	wɪt	a woman of wit and intelligence	eszes	<img src="wit.jpg">
