tags:5k
volatile	ˈvɒlətaɪl	volatile emotions	változékony	<img src="volatile.jpg">
artillery	ɑːˈtɪləri	The town is under heavy artillery fire	tüzérség	<img src="artillery.jpg">
bust	bʌst	Be careful to not bust a bust on your next field trip	összetör	<img src="bust.jpg">
rim	rɪm	He looked at them over the rim of his glass	perem	<img src="rim.jpg">
conversely	ˈkɒnvɜːsli	conversely, not all women are mothers	fordítva	<img src="conversely.jpg">
menace	ˈmɛnəs	he menaced the bank manager with a stick	fenyegetés	<img src="menace.jpg">
ensue	ɪnˈsjuː	A happening that is due to happen will ensue	következik	<img src="ensue.jpg">
cripple	ˈkrɪpl	The accident has crippled her for life	megbénít	<img src="cripple.jpg">
clench	klɛnʧ	clench your fists	összeszorít	<img src="clench.jpg">
pluck	plʌk	pluck her eyebrows	kitép	<img src="pluck.jpg">
slender	ˈslɛndə	a slender pole	karcsú	<img src="slender.jpg">
arbitrate	ˈɑːbɪtreɪt	to arbitrate in a dispute	dönt	<img src="arbitrate.jpg">
rationale	ˌræʃəˈnɑːl	What was the rationale behind his decision to quit	indoklás	<img src="rationale.jpg">
lament	ləˈmɛnt	their pitiful laments could be heard throughout the ward	kesergés	<img src="lament.jpg">
rove	rəʊv	A quarter of a million refugees roved around the country	kószál	<img src="rove.jpg">
seam	siːm	a shoulder seam	varrás	<img src="seam.jpg">
aggravate	ˈægrəveɪt	This drug aggravates the pain	súlyosbít	<img src="aggravate.jpg">
flop	flɒp	He flopped into a chair	leroskad	<img src="flop.jpg">
onset	ˈɒnsɛt	the onset of a disease	kezdet	<img src="onset.jpg">
solidarity	ˌsɒlɪˈdærɪti	He expressed his solidarity with the miners	összetartás	<img src="solidarity.jpg">
rite	raɪt	the rite of baptism	rítus	<img src="rite.jpg">
weld	wɛld	weld metal	hegeszt	<img src="weld.jpg">
renown	rɪˈnaʊn	He won renown as a fair judge	hírnév	<img src="renown.jpg">
entail	ɪnˈteɪl	The job entails a lot of hard work	maga után von	<img src="entail.jpg">
plaster	ˈplɑːstə	Her broken leg was put in a plaster cast	gipsz	<img src="plaster.jpg">
mound	maʊnd	a Bronze Age burial mound	halom	<img src="mound.jpg">
plough	plaʊ	the demise of the horse-drawn plough	eke	<img src="plough.jpg">
hail	heɪl	It hailed for an hour	jégeső	<img src="hail.jpg">
stark	stɑːk	a stark interior	kietlen	<img src="stark.jpg">
tranquil	ˈtræŋkwɪl	a lake of tranquil blue water reflecting a tranquil blue sky	nyugodt	<img src="tranquil.jpg">
hinge	hɪnʤ	The door had been pulled off its hinges	zsanér	<img src="hinge.jpg">
disintegrate	dɪsˈɪntɪgreɪt	the group disintegrated after the leader died	szétbomlik	<img src="disintegrate.jpg">
decree	dɪˈkriː	a divorce decree	rendelet	<img src="decree.jpg">
forthcoming	fɔːθˈkʌmɪŋ	the forthcoming holidays	közelgő	<img src="forthcoming.jpg">
crest	krɛst	The male is recognizable by its yellow crest	taréj	<img src="crest.jpg">
enlist	ɪnˈlɪst	They both enlisted in 1915	katonai szolgálatra jelentkezik	<img src="enlist.jpg">
arbitrary	ˈɑːbɪtrəri	of arbitrary size and shape	önkényes	<img src="arbitrary.jpg">
reservoir	ˈrɛzəvwɑː	They got up early and went for a swim in the reservoir	víztározó	<img src="reservoir.jpg">
dub	dʌb	The media dubbed anorexia 'the slimming disease'	elnevez	<img src="dub.jpg">
perch	pɜːʧ	The birds perched high in the tree	gubbaszt	<img src="perch.jpg">
moan	məʊn	The injured man was lying on the ground, moaning	sopánkodik	<img src="moan.jpg">
advocacy	ˈædvəkəsi	He won the Peace Prize for his advocacy of non-violent protest	pártfogás	<img src="advocacy.jpg">
inferior	ɪnˈfɪərɪə	an inferior officer	alsóbbrendű	<img src="inferior.jpg">
battalion	bəˈtæljən	a battalion of ants	zászlóalj	<img src="battalion.jpg">
burgle	ˈbɜːgl	The house next door was burgled	betör	<img src="burgle.jpg">
dissent	dɪˈsɛnt	he expressed his dissent in a contrary opinion	eltérő vélemény	<img src="dissent.jpg">
disposition	ˌdɪspəˈzɪʃən	he has a happy disposition	hajlam	<img src="disposition.jpg">
scrub	skrʌb	surgeons must scrub prior to an operation	súrol	<img src="scrub.jpg">
gig	gɪg	they played a gig in New Jersey	fellépés	<img src="gig.jpg">
rein	reɪn	rein a horse	gyeplő	<img src="rein.jpg">
